incident.number,incident.date,public,city,state,division.name,rural.city,rec.location,motive,victim.age,victim.race,victim.sex,RSO,offender.age,offender.race,offender.sex,Victim.in.relation,multiple.victims,multiple.offenders,type,target.harm,exclude,primary.incident,relationship.group,same.race
13-44,2013-08-01,No,Los Angeles,CA,West,City,,Unknown,14,Hispanic,Female,,34,Hispanic,Male,Unknown,1,1,SingleVO,No,0,Yes,,1
13-45,2013-09-01,No,Los Angeles,CA,West,City,>10 miles,Intent to Keep,9,Black,Male,No,47,Black,Female,Unknown,1,1,SingleVO,No,0,Yes,,1
13-46,2013-01-01,Yes,Litte Rock,AR,Southeast,City,<1 mile,Sexual,6,White,Female,No,28,White,Male,Babysittee (the baby),1,1,SingleVO,Yes,0,Yes,Known,1
13-47,2013-06-01,No,Miami,FL,Souheast,City,<1 mile,Sexual,11,Black,Female,,28,Hispanic,Female,Unknown,1,2,MultOff,Yes,0,Yes,,0
13-47,2013-06-01,No,Miami,FL,Souheast,City,<1 mile,Sexual,11,Black,Female,,38,Hispanic,Male,Unknown,1,2,MultOff,Yes,0,No,,0
13-48,2013-07-01,Yes,Milwaukee,WI,Central,Rural,<1 mile,None,2,White,Male,,,,,Unknown,1,1,SingleVO,Yes,0,Yes,,
13-49,2013-02-01,No,New Orleans,LA,South Central,City,>10 miles,Custodial,2,Black,Male,,51,Black,Female,Otherwise Known,1,1,SingleVO,No,0,Yes,Known,1
13-50,2013-06-01,No,New Orleans,LA,South Central,Rural,1-10 miles,Sexual,7,Black,Female,,29,Hispanic,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,0
13-51,2013-07-01,Yes,New Orleans,LA,South Central,City,,Sexual,6,Black,Female,,,Unknown,Unknown,Unknown,1,1,SingleVO,Yes,0,Yes,,
13-52,2013-03-01,No,Oklahoma City,OK,South Central,Rural,,Custodial,2,White,Female,No,40,Unknown,Male,Child,1,1,SingleVO,No,0,Yes,Parent,
13-53,2013-04-01,Yes,Portland,OR,West,Rural,,Custodial,6,Black,Female,No,30,Black,Female,Child,1,1,SingleVO,No,0,Yes,Parent,1
13-54,2013-03-01,Yes,Pittsburgh,PA,Northeast,Rural,>10 miles,Sexual,13,White,Female,,32,White,Male,Unknown,1,1,SingleVO,Yes,0,Yes,,1
13-55,2013-09-01,Yes,Pittsburgh,PA,Northeast,City,<1 mile,Sexual,14,White,Female,No,22,White,Male,Acquaintance,1,1,SingleVO,Yes,0,Yes,Known,1
13-56,2013-05-01,Yes,Philadelphia,PA,Northeast,City,,Sexual,5,Black,Female,No,,Black,Female,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,1
13-57,2012-11-01,Yes,Phoenix,AZ,West,City,,Ransom,3,Hispanic,Male,No,31,Hispanic,Female,Otherwise Known,1,2,MultOff,No,0,Yes,Known,1
13-57,2012-11-01,Yes,Phoenix,AZ,West,City,,Ransom,3,Hispanic,Male,,38,Hispanic,Female,Unknown,1,2,MultOff,No,0,No,,1
13-58,2013-01-01,No,Phoenix,AZ,West,Rural,1-10 miles,None,7,White,Male,,,Unknown,Unknown,Unknown,1,1,SingleVO,No,0,Yes,,
13-59,2013-01-01,Yes,Phoenix,AZ,West,Rural,,Custodial,13,Black,Female,No,37,Black,Male,Child,1,1,SingleVO,No,0,Yes,Parent,1
13-62,,,Richmond,VA,Souheast,City,,None,12,Black,Male,,,None,None,Exclude,1,1,SingleVO,Yes,0,Yes,,0
13-64,2013-05-01,Yes,San Antonio,TX,South Central,Rural,,Custodial,13,White,Female,,33,White,Male,Other Family Member,1,1,SingleVO,No,0,Yes,Family,1
13-65,2013-05-01,Yes,Sacramento,CA,West,Rural,,Sexual,13,White,Female,,,Black,Male,Unknown,1,1,SingleVO,Yes,0,Yes,,0
