FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent
21227,0.6,,,,,,
21231,0.8,4.4,16,87.4,53.8,33164,497
21235,0.6,4.7,17.5,84.4,56.3,35588,549
21239,0.6,4,24.7,86.9,59.7,44910,582
22005,0.6,8.2,21.3,79.9,62.1,40065,612
22015,0.7,,,,,,
22019,0.7,,,,,,
22023,0.6,4.5,20.5,82.6,55.9,35534,602
22039,0.6,3.7,16.6,85.9,49.3,39082,502
22045,0.5,4.5,18.4,87,63.2,41976,671
22053,0.6,4.1,19.7,93.1,53.3,38924,530
22059,0.6,2.6,21.9,87.7,64.4,77659,841
22065,0.9,6.6,15.7,86.2,49.9,31250,521
22093,0.7,,,,,,
23005,0.7,,,,,,
25001,0.7,4.9,22.1,82.5,70.5,60161,706
25003,0.7,4,23,86.6,64.8,54016,763
25005,0.5,4.7,17.8,86.8,58.5,35471,550
25009,0.6,7.5,20.9,76.9,66.2,41184,650
25011,0.6,3.5,18.1,88.3,49.3,27165,465
25013,0.8,5.1,18.6,80.7,50.4,30568,556
25015,0.7,5.5,19.2,90.6,66.9,56407,719
25017,0.7,4.7,22.3,86.7,68.6,66575,821
25021,0.7,4,24.2,83.3,68.6,53096,815
25023,0.7,4.4,21.1,83.2,61.4,42059,724
25025,0.7,,,,,,
25027,0.5,2.6,14.3,90.2,47.5,30925,526
26001,0.6,3.3,20.2,86.7,54.9,39790,565
26003,0.6,,,,,,
26005,0.5,,,,,,
26007,0.8,1.7,18.5,95,60.9,50518,723
26011,0.8,7.1,20.9,84.6,66.2,44518,692
26013,0.7,7.2,18.8,83.5,69.4,58065,927
26015,1,5.6,20.7,90.4,59.2,58751,1124
26017,0.7,5.5,18.8,87.8,62.4,46206,738
26019,1.2,5.6,17.8,89.1,66.4,54221,795
26021,1.2,5.1,17.7,87.7,67.9,66089,1018
26023,0.7,8.6,21,86.6,68.4,52308,824
26025,1,5.9,19,87.3,62.7,49080,777
26027,0.7,9.6,17.3,83.5,65.5,59679,896
26029,1.1,6.4,13.6,86.2,70.1,80150,1260
26031,1.2,4.6,15,89.1,69.1,82468,1237
26033,1.2,4.5,19,89.8,68.4,72633,1105
26035,1,12.7,14.5,78.7,68,51153,1240
26037,1,5.6,18,88,67.6,63687,895
26039,0.9,,,,,,
26041,0.5,,,,,,
26043,0.5,4.7,22.8,86.4,62.4,49394,725
26045,0.4,4.4,26.6,85.9,57.6,37895,529
26047,0.6,4.4,24.2,92.1,56,43934,701
26049,0.6,,,,,,
26055,0.5,,,,,,
26057,0.6,4.1,25.1,90.5,62,52211,700
26059,0.4,5.1,24,88.5,60.1,45064,633
26061,0.7,,,,,,
26063,0.7,4.3,22.8,87.3,61.1,43303,638
26065,0.6,5,24.4,90.2,54.9,40438,676
26067,0.6,5.3,25.4,85.1,60.5,40771,648
26069,0.7,4,24.3,92.9,59.7,43921,718
26071,0.5,4.4,24.7,89.6,61.1,44756,614
26073,0.7,5.8,22.2,86.6,53.5,37573,566
26075,0.4,6,25.9,82.5,53.3,38996,594
26077,0.6,5.8,25.9,85.9,47.2,31539,572
26079,0.4,7.2,27.5,86.4,64.6,58251,760
26081,0.5,,,,,,
26085,0.4,5.6,23.8,88,58.7,39904,538
26087,0.4,3.2,22.4,88.7,58.4,42468,589
26089,0.5,4.2,27.8,86.2,64.4,53878,746
26091,0.6,4.8,23.4,87,64.3,50000,725
26093,0.6,5,26.9,84.8,57.3,40860,695
26097,0.5,6.3,25.1,86,65.2,50275,821
26099,0.4,5.3,25.3,82.7,53.2,40486,590
26101,0.6,4.8,23.2,87.8,57.5,41260,611
26103,0.3,9.8,19.3,83.9,55.8,35323,595
26105,0.5,4.1,19,90.9,56.8,39925,586
26107,0.5,10.3,24.4,75.6,63.2,43971,755
26109,0.4,4,26.2,85.3,60.1,47392,682
26111,0.6,5.3,26.8,87.3,47.1,34989,579
26115,0.6,,,,,,
26117,0.3,18.1,23.3,66.4,61.5,35536,666
26119,0.6,5.4,28,82.5,58.2,44071,723
26121,0.4,9.3,25.1,78.8,65.5,45453,706
26123,0.6,,,,,,
26125,0.5,6.1,22.5,84,68.9,50940,737
26127,0.8,,,,,,
26129,0.7,3.6,26.1,88.8,60.2,51435,775
26133,0.6,3.5,23.4,91,56.6,53512,788
26137,0.5,4.9,24.8,85,60.1,46608,693
26139,0.7,3.4,26.1,90.3,67.6,71039,899
26141,0.6,,,,,,
26143,0.9,3.6,24.5,88.5,64.5,51971,811
26145,0.6,5.9,24.2,85.2,51.1,39485,649
26147,0.4,7.7,23.1,83,58.2,44528,599
26149,0.5,4.5,26.2,86.2,60.7,41174,652
26151,0.5,9.7,24.6,81.5,56.6,38597,639
26153,0.5,3.6,22.5,89.9,59,40047,521
26155,0.5,4.4,22.3,84.8,60.4,52352,720
26157,0.6,3.8,25.7,88.4,62.8,52227,797
26159,0.5,5.5,24.9,88.7,55.1,39926,670
26161,0.7,,,,,,
26163,0.5,5.3,25.4,83.9,59.5,40158,649
26165,0.6,5.6,23.8,89.9,55.9,42084,672
28047,0.8,4.1,21.5,85.5,66.9,63205,904
29047,0.6,4.5,22.2,89,55,38289,667
29095,0.5,5.7,23.3,85.5,48,35379,624
29097,0.6,6.4,21.4,86.8,53.8,36879,565
29105,0.6,6.5,25.1,82.6,59.8,47821,662
29117,0.4,5.3,22.2,84.9,68.1,55568,743
29183,0.6,,,,,,
30001,0.7,6.4,25,86.4,41.4,33743,657
30003,0.5,5.1,23.9,86.6,58.3,41793,703
30005,0.7,5,26.6,85.4,60.9,46055,709
30009,0.6,4.6,23.2,91.4,59.9,42677,629
30013,0.6,4.8,21.1,92,56.7,40034,611
30015,0.4,,,,,,
30017,0.6,4.9,27,86.5,60.3,46717,653
30027,0.5,4.3,23.4,86.9,57.8,43247,643
30029,0.6,5.3,24.7,90.4,60.6,45077,646
30031,0.6,9.9,20,76.6,65.6,57548,893
30035,0.9,5,25,85.4,58.7,40123,781
30041,0.7,4.3,23.2,84.5,58.4,38608,649
30043,0.8,5.6,25.9,79.1,65.3,41283,838
30047,0.6,4.9,25.9,84.7,71.5,59095,794
30049,0.7,6.5,24.1,83.2,66.7,45577,783
30053,0.5,7,22.6,82.9,65.2,38861,637
30063,0.6,5.3,19.9,83.8,60.2,40391,584
30065,0.4,,,,,,
30067,0.7,3.7,23.4,89.2,71.8,68935,855
30077,0.4,,,,,,
30081,0.6,,,,,,
30085,0.4,,,,,,
30089,0.5,,,,,,
30095,0.5,4.8,27,81.5,63.4,44116,616
30099,0.5,,,,,,
30105,0.5,,,,,,
30111,0.5,,,,,,
31001,0.6,5.7,24.8,90.8,64.7,44734,749
31025,0.3,10.5,23.7,75.1,71.2,51911,823
31031,0.4,,,,,,
31047,0.4,,,,,,
31053,0.4,,,,,,
31055,0.6,5.9,26.5,83,58.6,36138,596
31081,0.5,6.1,24.8,84.7,68.3,54139,692
31111,0.6,,,,,,
31119,0.4,,,,,,
31121,0.4,10.4,23.3,76.9,70.2,45054,743
31125,0.6,,,,,,
31127,0.5,,,,,,
31141,0.5,,,,,,
31153,0.3,,,,,,
31177,0.7,4,26.7,85.4,57.6,38110,662
33001,0.3,,,,,,
33003,0.4,,,,,,
33005,0.6,,,,,,
33007,0.4,,,,,,
33009,0.5,,,,,,
33011,0.6,,,,,,
33013,0.5,6.1,25.9,83.7,68.5,50000,696
33015,0.4,6.7,26.1,80.5,68.6,45879,609
33017,0.4,3.6,27.2,91.1,69,61515,722
33019,0.4,,,,,,
38015,0.4,5.1,21.5,83.9,68.7,44454,644
38017,0.5,6.6,24.1,81.9,72.2,52428,780
38035,0.3,4.7,21.2,89.4,66,48338,552
38049,0.3,,,,,,
38059,0.4,,,,,,
38061,0.4,3.9,28.1,86.4,66.5,47633,572
38063,0.3,4.2,23,83.1,70.4,45904,602
38067,0.4,,,,,,
38077,0.4,,,,,,
38079,0.2,,,,,,
38081,0.3,4,28,88.5,74.4,53582,606
38101,0.5,3.7,26.1,82.8,76.4,67694,843
38105,0.3,2.6,21.8,91.1,69.5,71505,703
39001,0.9,5.1,20.2,89.4,65.7,58047,889
39005,0.7,4.7,20.4,88.8,60.7,50335,905
39009,0.8,8.2,18.6,83.4,67.4,54921,943
39013,0.8,5.9,19.1,86.4,59.1,39246,650
39015,0.6,7.2,17.1,84.5,63.5,52839,892
39017,0.9,5.9,18.4,86.4,71.7,69395,1028
39021,0.8,6.7,19.4,86.6,67.7,63357,899
39023,1,5,18.7,89.7,72.7,77813,1062
39025,0.7,8.7,19.3,79.1,69.1,55196,943
39027,0.8,5.8,18.8,87.6,66.3,55173,860
39029,0.3,5.9,21.6,83.6,72.5,60214,663
39031,0.3,8.5,25.1,77.1,77.4,52416,657
39035,0.3,9.9,24.2,77.1,71.4,44707,671
39039,0.6,,,,,,
39041,0.5,,,,,,
39045,0.3,5.1,23.2,85.3,73.7,56241,678
39047,0.4,,,,,,
39049,0.5,,,,,,
39051,0.3,,,,,,
39057,0.3,,,,,,
39059,0.4,,,,,,
39061,0.4,,,,,,
39063,0.3,4.9,17.3,86.2,66.9,48881,543
39069,0.3,6.4,27,77.5,73,54324,688
39071,0.4,7.4,26.9,78.3,71,76206,669
39073,0.6,3.8,16.6,87.7,55.3,33893,530
39087,0.6,4.1,15.5,86.2,63,43368,659
39089,0.4,15.7,18.8,69.2,54.6,34705,675
39093,0.9,3.8,19,89.2,56.8,42254,520
39095,0.7,4.9,15.6,88.8,58.6,43439,666
39097,0.7,5.6,20.2,85,66.5,55895,789
39099,0.5,4.2,20.2,84.2,62.1,47947,660
39101,0.7,6.2,23.3,85.1,59.7,41235,658
39103,0.7,4.6,18.9,89.5,66.4,56530,759
39109,0.7,5.6,21.4,85.1,62.9,42269,668
39111,0.7,4.7,17.9,87,59.4,41930,583
39113,0.6,4.8,17,88.1,58,41125,571
39117,0.9,4.8,22.3,85.3,63.5,42500,722
39119,0.5,5.6,21.4,85.4,64.6,46467,637
39125,0.6,3,18.2,88.3,70.7,87890,858
39129,0.6,4.8,20.9,86.3,63.3,45870,686
39133,0.6,4.2,21.4,85.1,66.2,60375,773
39135,0.6,6.5,18,84.8,61.5,37753,698
39139,0.6,8.2,21,80,69.3,49670,800
39141,0.5,3.6,21.6,88.3,67.2,51644,671
39145,0.6,4.8,18.9,88.4,52.6,37830,584
39147,0.6,5,21.2,86.2,62.7,55153,825
39149,0.7,4.6,20.1,87.9,58.1,38102,576
39151,0.6,6.2,20.5,83.3,66,47643,692
39153,0.4,6.3,21.2,84.2,67.8,49400,659
39155,0.4,5.3,15.9,84.2,60.3,41367,628
39157,0.4,3.9,20.1,89.8,65,48576,669
39159,0.7,5,20.2,84.3,58.3,38198,611
39161,0.6,5.1,18.3,88.3,58,40981,555
39165,0.8,4.3,18.3,90.6,55.2,41095,600
39169,0.7,4.3,18.3,87.7,53.4,40232,620
39171,0.6,4.9,21.6,86.6,66.7,53984,728
40001,0.5,5.2,16.2,86.6,61.7,44853,676
40003,0.7,4.5,23.1,86.1,63.3,50230,726
40011,0.6,6.2,23.8,83.2,63.8,40416,646
40013,0.5,4.3,21.7,85.8,58.9,55121,736
40017,1,4.5,21.7,89,59.2,40005,619
40037,0.6,5.8,22.1,80.8,53.4,41222,688
40057,0.8,3.8,22.4,89.8,68.3,63609,813
40067,0.6,4.9,20.7,85.1,65.1,50594,700
40071,0.6,,,,,,
40073,0.7,5.3,24.9,82.3,61.6,42100,710
40075,0.8,4.2,21.1,89.5,63.7,51623,698
40077,0.6,6.4,20.2,86.2,61,39829,622
40079,0.4,,,,,,
40081,0.6,5.7,18.5,84,58.7,54294,722
40083,0.6,4.7,14.4,85.4,54,35939,652
40087,0.7,7.8,20.3,83.2,67,51201,775
40095,0.7,4.2,21.7,86.8,64.3,47757,713
40101,0.6,4.8,21.4,85.3,57.7,41697,614
40103,0.6,5.6,19.3,86,55.4,43089,648
40107,0.7,6,21.7,87.6,50,35269,547
40109,0.5,5,17.9,89,65.2,51145,685
40111,0.7,4.6,21.3,87.4,63.5,44333,662
40117,0.7,5.5,20.6,88.8,64.9,48252,730
40121,0.9,3.9,19.2,88.8,56.7,41671,612
40125,0.6,3.9,16.6,89.3,63,42636,627
40127,0.5,3.7,21.2,84.8,65,62622,757
40135,0.7,3.4,18.2,87.8,68.1,71134,895
40137,0.6,4,16.3,87.2,64.5,47795,657
40139,0.5,5.1,20.5,82.2,61.8,40593,600
40141,0.4,8.5,23,79.7,67.1,50284,706
40143,0.6,3.7,20.3,92.7,54.9,33900,514
40149,0.3,,,,,,
41003,0.4,,,,,,
41017,0.7,6.1,22.3,80.6,61.2,37663,637
41019,0.6,4.2,29,84.6,68.3,60978,805
41029,0.8,4.4,24.7,88.9,58.5,41962,643
41041,0.8,,,,,,
41043,0.9,,,,,,
41047,0.4,5.3,24.4,80.2,61,40097,597
41049,0.5,,,,,,
41053,0.5,,,,,,
41059,0.6,,,,,,
41061,0.7,5.4,22.6,87.2,52.4,34650,549
41071,0.7,3,24.5,88.5,59,40915,551
44001,0.6,3.3,25.9,84.2,60.7,53032,643
44003,0.6,3.1,25.2,87.5,63,53638,673
44005,0.3,,,,,,
44007,0.6,,,,,,
45001,0.7,4.4,24,84.8,54.8,38156,613
45003,0.6,,,,,,
45005,0.6,,,,,,
45007,0.7,6.1,24.8,79.8,65.8,44271,744
45009,0.7,5.2,24.2,81.5,54.9,37617,591
45011,0.6,,,,,,
45013,0.7,4.7,23.8,84.5,53.5,40689,655
45015,0.7,4.9,25,85.5,58.4,41584,656
45017,0.7,,,,,,
45019,0.7,4.8,21.1,83.9,55.8,38020,616
45021,0.6,4,24.3,80,58.3,43790,620
45023,0.5,5.8,19.5,83,70.2,46805,632
45025,0.7,,,,,,
45027,0.6,5.6,24.2,82.1,67,46893,736
45029,0.4,,,,,,
45031,0.4,5.8,24.7,87.2,63.8,51162,620
45033,0.5,13.2,22.2,81,59.3,46238,790
45035,0.7,6.6,29.8,80.2,62.4,47265,906
45037,0.9,6.2,30.2,82.2,52,38974,755
45041,0.8,7.8,29.2,81.1,60,42424,854
45043,0.9,6,28.1,83.7,56.8,42342,809
45045,0.8,7.2,31.4,86,57.7,44296,766
45047,0.7,6.3,27,81.3,62.5,45405,780
45049,0.9,,,,,,
45051,0.7,6.6,26.7,80.7,59.4,50178,786
45053,0.7,5.9,28,81.1,62.3,46305,658
45055,0.6,6.4,26.6,83,55.7,41462,638
45057,0.8,7.5,24.8,84.4,62.8,51055,862
45059,1,4.2,15.6,88.3,65.2,66288,893
45061,1.1,5.4,19.7,90.3,69,59707,968
45063,0.7,5.8,17.9,85.3,67.4,70723,1113
45067,1.2,7.5,18.5,85.4,64.8,48225,857
45069,0.9,4.1,21,89.7,53.4,35335,549
45073,0.8,3.6,22.1,86.9,57.1,43555,708
45075,0.8,,,,,,
45077,0.9,3.8,20.4,86.4,58.7,40044,658
45079,0.9,,,,,,
45083,0.8,5.2,20.9,91.9,56.5,35189,640
45085,0.7,5,20.5,81.2,58.5,56369,995
